Member1,Material1,Section1,Area1,Orientation1,Member2,Material2,Section2,Area2,Orientation2,Angle,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Output
523.0,235.0,I,46.0,X,178.0,235.0,I,46.0,Z,89.99999999999994,4.79,0.0,0.0,0.0,0.0,0.0,0.43,0.0,3.71,0.0,8.28,0.0,2.0
185.0,355.0,I,112.0,X,179.0,275.0,H,11.0,Z,90.0,-27.35,0.05,0.35,0.0,-0.66,0.0,-0.51,0.0,-0.22,0.0,0.0,0.05,10.0
197.0,355.0,I,112.0,X,179.0,275.0,H,11.0,Z,90.0,-51.28,0.08,0.26,0.0,-0.65,0.0,-0.51,0.0,0.22,0.0,0.0,0.06,10.0
180.0,355.0,I,112.0,Z,218.0,235.0,S,27.0,XZ,55.007979801441344,-30.37,-0.05,0.35,0.0,-0.66,-0.05,1.0,1.0,1.0,1.0,1.0,1.0,8.0
180.0,355.0,I,112.0,Z,219.0,235.0,S,27.0,XZ,55.007979801441344,-25.31,-0.05,0.35,0.0,0.33,0.11,1.94,0.0,0.0,0.0,0.0,0.0,8.0
181.0,355.0,I,112.0,Z,214.0,235.0,S,15.0,XZ,55.007979801441344,-45.43,0.0,0.23,0.0,-0.21,0.0,0.65,0.0,0.0,0.0,0.0,0.0,7.0
181.0,355.0,I,112.0,Z,215.0,235.0,S,15.0,XZ,55.007979801441344,-40.36,0.0,0.23,0.0,0.44,0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
182.0,355.0,I,112.0,Z,210.0,235.0,S,15.0,XZ,55.007979801441344,-42.59,0.0,0.21,0.0,-0.19,0.0,0.66,0.0,0.0,0.0,0.0,0.0,7.0
182.0,355.0,I,112.0,Z,211.0,235.0,S,15.0,XZ,55.007979801441344,-37.52,0.0,0.21,0.0,0.4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
183.0,355.0,I,112.0,Z,206.0,235.0,S,15.0,XZ,55.007979801441344,-47.33,0.0,0.34,0.0,-0.39,0.0,0.41,0.0,0.0,0.0,0.0,0.0,7.0
183.0,355.0,I,112.0,Z,207.0,235.0,S,15.0,XZ,55.007979801441344,-42.26,0.0,0.34,0.0,0.57,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
183.0,355.0,I,112.0,Z,482.0,235.0,S,27.0,YZ,50.30732684933118,-42.26,0.0,0.34,0.0,0.57,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
184.0,355.0,I,112.0,Z,202.0,235.0,S,15.0,XZ,55.007979801441344,-39.78,0.0,0.15,0.0,-0.12,0.0,0.72,0.0,0.0,0.0,0.0,0.0,7.0
184.0,355.0,I,112.0,Z,203.0,235.0,S,15.0,XZ,55.007979801441344,-34.71,0.0,0.15,0.0,0.32,-0.02,1.0,1.0,1.0,1.0,1.0,1.0,8.0
185.0,355.0,I,112.0,Z,198.0,235.0,S,27.0,XZ,55.007979801441344,-27.35,0.05,0.35,0.0,-0.66,0.05,1.0,1.0,1.0,1.0,1.0,1.0,9.0
185.0,355.0,I,112.0,Z,199.0,235.0,S,27.0,XZ,55.007979801441344,-22.29,0.05,0.35,0.0,0.32,-0.1,2.03,0.0,0.0,0.0,0.0,0.0,9.0
186.0,355.0,I,112.0,Z,220.0,235.0,S,27.0,XZ,55.007979801441344,-23.78,-0.05,0.24,0.0,0.11,0.09,1.0,1.0,1.0,1.0,1.0,1.0,9.0
186.0,355.0,I,112.0,Z,221.0,235.0,S,27.0,XZ,55.007979801441344,-28.85,-0.05,0.24,0.0,-0.57,-0.05,-0.34,0.0,0.0,0.0,0.0,0.0,9.0
187.0,355.0,I,112.0,Z,216.0,235.0,S,15.0,XZ,55.007979801441344,-40.28,0.0,0.23,0.0,0.13,0.02,1.0,1.0,1.0,1.0,1.0,1.0,8.0
187.0,355.0,I,112.0,Z,217.0,235.0,S,15.0,XZ,55.007979801441344,-45.35,0.0,0.23,0.0,-0.52,0.0,1.7,0.0,0.0,0.0,0.0,0.0,7.0
188.0,355.0,I,112.0,Z,212.0,235.0,S,15.0,XZ,55.007979801441344,-38.8,0.0,0.25,0.0,0.21,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
188.0,355.0,I,112.0,Z,213.0,235.0,S,15.0,XZ,55.007979801441344,-43.87,0.0,0.25,0.0,-0.49,0.0,1.65,0.0,0.0,0.0,0.0,0.0,7.0
189.0,355.0,I,112.0,Z,208.0,235.0,S,15.0,XZ,55.007979801441344,-38.78,0.0,0.31,0.0,0.18,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
189.0,355.0,I,112.0,Z,209.0,235.0,S,15.0,XZ,55.007979801441344,-43.85,0.0,0.31,0.0,-0.7,0.0,1.94,0.0,0.0,0.0,0.0,0.0,7.0
189.0,355.0,I,112.0,Z,488.0,235.0,S,27.0,YZ,50.30732684933118,-38.78,0.0,0.31,0.0,0.18,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0
190.0,355.0,I,112.0,Z,204.0,235.0,S,15.0,XZ,55.007979801441344,-39.7,0.0,0.22,0.0,0.19,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,8.0
